Einheit_BFS,Einheit_Name,StimBerTotal,WZEingegangen,WZLeer,WZUngueltig,StmWZVeraendertLeerAmtlLeer
1701,Baar,17035,9438,17,265,115
1702,Cham,3669,2121,4,62,23
